,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_delta_step,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params
0,-48.0551263265149,-47.612893158359476,-32.5079405912503,-52.55768050590662,-53.15919198730967,-46.611994740368466,7.517257899641915,1,0.010544013977050782,0.0017812530887878696,0.001311492919921875,0.00015123696142618,0.4160029192647807,0.7304484857455519,0.13031389926541354,0.042815319280763466,13,21,2,87,5.497557739289786e-07,0.05936070635912049,0.060830282487222144,0.13556548021189216,"{'colsample_bylevel': 0.4160029192647807, 'colsample_bytree': 0.7304484857455519, 'gamma': 0.13031389926541354, 'learning_rate': 0.042815319280763466, 'max_delta_step': 13, 'max_depth': 21, 'min_child_weight': 2, 'n_estimators': 87, 'reg_alpha': 5.497557739289786e-07, 'reg_lambda': 0.05936070635912049, 'scale_pos_weight': 0.060830282487222144, 'subsample': 0.13556548021189216}"
1,-48.0551263265149,-47.612893158359476,-32.5079405912503,-52.55768050590662,-53.15919198730967,-46.611994740368466,7.517257899641915,1,0.011969518661499024,0.0031126959504524272,0.0014446735382080077,0.00027812880165526565,0.8390144719977516,0.8844821246070537,4.358684608480795e-07,0.7988179462781242,17,3,1,68,0.0005266983003701547,276.5424475574225,0.3016410771843142,0.9923710598637134,"{'colsample_bylevel': 0.8390144719977516, 'colsample_bytree': 0.8844821246070537, 'gamma': 4.358684608480795e-07, 'learning_rate': 0.7988179462781242, 'max_delta_step': 17, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 68, 'reg_alpha': 0.0005266983003701547, 'reg_lambda': 276.5424475574225, 'scale_pos_weight': 0.3016410771843142, 'subsample': 0.9923710598637134}"
2,-6.404928196823845,-5.010126268315893,-3.4516913226842414,-5.874931682159937,-9.196609244245039,-5.945243284753827,1.8785810447414995,1,0.011098623275756836,0.0039659547093701675,0.00146942138671875,0.0004845292837349688,0.4503841871781403,0.9195352964526833,8.168958221061441e-09,0.07356404539935663,4,23,1,88,0.00010376808625045426,476.96194787286544,1.3165669602830552,0.387658500562527,"{'colsample_bylevel': 0.4503841871781403, 'colsample_bytree': 0.9195352964526833, 'gamma': 8.168958221061441e-09, 'learning_rate': 0.07356404539935663, 'max_delta_step': 4, 'max_depth': 23, 'min_child_weight': 1, 'n_estimators': 88, 'reg_alpha': 0.00010376808625045426, 'reg_lambda': 476.96194787286544, 'scale_pos_weight': 1.3165669602830552, 'subsample': 0.387658500562527}"
3,-48.0551263265149,-47.612893158359476,-32.5079405912503,-52.55768050590662,-53.15919198730967,-46.611994740368466,7.517257899641915,1,0.014934492111206055,0.005442472931417266,0.0014887332916259765,0.0003857828742480917,0.8142720284737898,0.1801528457825951,0.00015936523535755285,0.4032083917998946,10,5,4,94,0.1611980387486336,4.3806965488564525e-05,0.0009365503147654213,0.8391548832503206,"{'colsample_bylevel': 0.8142720284737898, 'colsample_bytree': 0.1801528457825951, 'gamma': 0.00015936523535755285, 'learning_rate': 0.4032083917998946, 'max_delta_step': 10, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 94, 'reg_alpha': 0.1611980387486336, 'reg_lambda': 4.3806965488564525e-05, 'scale_pos_weight': 0.0009365503147654213, 'subsample': 0.8391548832503206}"
4,-48.0551263265149,-47.612893158359476,-32.5079405912503,-52.55768050590662,-53.15919198730967,-46.611994740368466,7.517257899641915,1,0.010194349288940429,0.0038016044652645653,0.0030196189880371095,0.0033538922145327573,0.8015579071911014,0.44364889457651413,3.811128976537413e-05,0.2700390206185342,18,36,2,83,1.5057560255472018e-06,0.08186810622382998,0.029004593634154585,0.8835665823899177,"{'colsample_bylevel': 0.8015579071911014, 'colsample_bytree': 0.44364889457651413, 'gamma': 3.811128976537413e-05, 'learning_rate': 0.2700390206185342, 'max_delta_step': 18, 'max_depth': 36, 'min_child_weight': 2, 'n_estimators': 83, 'reg_alpha': 1.5057560255472018e-06, 'reg_lambda': 0.08186810622382998, 'scale_pos_weight': 0.029004593634154585, 'subsample': 0.8835665823899177}"
5,-48.0551263265149,-47.612893158359476,-32.5079405912503,-52.55768050590662,-53.15919198730967,-46.611994740368466,7.517257899641915,1,0.008769845962524414,0.0018611719346405254,0.0013407230377197265,0.00020104178428286158,0.7366877378057127,0.9399760402267441,2.6498051478267012e-08,0.0238149998729586,16,19,2,77,0.011683028450342707,0.0048879464985534336,0.13267482411031659,0.5689543694097536,"{'colsample_bylevel': 0.7366877378057127, 'colsample_bytree': 0.9399760402267441, 'gamma': 2.6498051478267012e-08, 'learning_rate': 0.0238149998729586, 'max_delta_step': 16, 'max_depth': 19, 'min_child_weight': 2, 'n_estimators': 77, 'reg_alpha': 0.011683028450342707, 'reg_lambda': 0.0048879464985534336, 'scale_pos_weight': 0.13267482411031659, 'subsample': 0.5689543694097536}"
6,-1.5221563429238945,-0.601831784702141,-0.32307327958764165,-0.45006596500541624,-0.9013647177395983,-0.7619993242004844,0.43125141200283135,1,0.019730234146118165,0.005651692945997567,0.0026354312896728514,0.0015582785274570706,0.6209085649172932,0.7776107350396038,1.3277909848852635e-06,0.5605967693796124,12,30,3,71,0.004026635957416632,0.040887904512512056,109.72255122430063,0.6612742297240571,"{'colsample_bylevel': 0.6209085649172932, 'colsample_bytree': 0.7776107350396038, 'gamma': 1.3277909848852635e-06, 'learning_rate': 0.5605967693796124, 'max_delta_step': 12, 'max_depth': 30, 'min_child_weight': 3, 'n_estimators': 71, 'reg_alpha': 0.004026635957416632, 'reg_lambda': 0.040887904512512056, 'scale_pos_weight': 109.72255122430063, 'subsample': 0.6612742297240571}"
7,-48.0551263265149,-47.612893158359476,-32.5079405912503,-52.55768050590662,-53.15919198730967,-46.611994740368466,7.517257899641915,1,0.008828687667846679,0.0033228385835924633,0.002059793472290039,0.0015213067173382008,0.5479690370134094,0.9208091341729433,2.083286323303108e-05,0.4734922490673386,6,3,3,51,2.9618722230360503e-06,8.153638964242,0.0015718563651880596,0.577028860872224,"{'colsample_bylevel': 0.5479690370134094, 'colsample_bytree': 0.9208091341729433, 'gamma': 2.083286323303108e-05, 'learning_rate': 0.4734922490673386, 'max_delta_step': 6, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 51, 'reg_alpha': 2.9618722230360503e-06, 'reg_lambda': 8.153638964242, 'scale_pos_weight': 0.0015718563651880596, 'subsample': 0.577028860872224}"
8,-0.03574119339667159,-0.3898798135236181,0.15693231838048705,-0.5222937729211123,-0.3934119765922191,-0.23082480577100933,0.2554908768860805,1,0.020978784561157225,0.00501168292305901,0.0014940738677978516,0.00023869491775119664,0.955923206446829,0.7036152301751524,0.03823613443879595,0.06786442521779147,8,11,0,69,0.00022356829889037284,1.2908532337409298e-07,4.73588486119117,0.4499578015509351,"{'colsample_bylevel': 0.955923206446829, 'colsample_bytree': 0.7036152301751524, 'gamma': 0.03823613443879595, 'learning_rate': 0.06786442521779147, 'max_delta_step': 8, 'max_depth': 11, 'min_child_weight': 0, 'n_estimators': 69, 'reg_alpha': 0.00022356829889037284, 'reg_lambda': 1.2908532337409298e-07, 'scale_pos_weight': 4.73588486119117, 'subsample': 0.4499578015509351}"
9,-4.150533902521425,-2.9345452202780344,-1.98737532921628,-3.1209548045173765,-5.538609635081717,-3.524941355268814,1.2028137945501722,1,0.007883119583129882,0.0020255704796575155,0.0013926506042480468,0.00023856846866112543,0.013594004182195795,0.819651719467114,0.002807995180059625,0.03229300915669146,12,14,2,58,0.11080071157037095,5.745523087821567,3.573713830065675,0.029649078936835577,"{'colsample_bylevel': 0.013594004182195795, 'colsample_bytree': 0.819651719467114, 'gamma': 0.002807995180059625, 'learning_rate': 0.03229300915669146, 'max_delta_step': 12, 'max_depth': 14, 'min_child_weight': 2, 'n_estimators': 58, 'reg_alpha': 0.11080071157037095, 'reg_lambda': 5.745523087821567, 'scale_pos_weight': 3.573713830065675, 'subsample': 0.029649078936835577}"
